Genus,Phylum,Sp,Strain,Assembly,Phyla
Melampsora,Basidiomycota,aecidioides,Ma07VIC01,GCA_002157015.1,1
Melampsora,Basidiomycota,pinitorqua,Mpini7,GCA_000464645.1,1
Melanogaster,Basidiomycota,broomeanus,MBLB.BST,GCA_014904935.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,MvSl-1064,GCA_001244265.2,1
Microbotryum,Basidiomycota,violaceum,01510_a1,GCA_022506055.1,1
Microbotryum,Basidiomycota,scabiosae,1118,GCA_022702605.1,1
Microbotryum,Basidiomycota,intermedium,1389,GCA_022702645.1,1
Microbotryum,Basidiomycota,silenes-acaulis,1248,GCA_003665825.1,1
Microbotryum,Basidiomycota,saponariae,NA,GCA_900102585.1,1
Microbotryum,Basidiomycota,silenes-dioicae,1303,GCA_014805725.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900015445.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,MvSl-1318-A1,GCA_003121365.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,MvSl-1318_A2,GCA_003121355.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010185.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900016715.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010235.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900011535.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900011195.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900008665.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900011025.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010535.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010705.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900016725.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010545.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900016685.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900016695.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900012385.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900010715.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900009975.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,NA,GCA_900016705.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,Lamole,GCA_900015465.1,1
Microbotryum,Basidiomycota,lychnidis-dioicae,p1A1.Lamole,GCA_000166175.1,1
Microbotryum,Basidiomycota,violaceum,01299_a2,GCA_022505985.1,1
Microbotryum,Basidiomycota,violaceum,1252,GCA_900015485.1,1
Microbotryum,Basidiomycota,violaceum,01299_a1,GCA_022506005.1,1
Microbotryum,Basidiomycota,violaceum,01510_a2,GCA_022506025.1,1
Microbotryum,Basidiomycota,violaceum,1296,GCA_900015965.1,1
Microbotryum,Basidiomycota,violaceum,1249,GCA_900015455.1,1
Microbotryum,Basidiomycota,violaceum,1296,GCA_900011735.1,1
Microbotryum,Basidiomycota,violaceum,1400,GCA_022702585.1,1
Microbotryum,Basidiomycota,violaceum,1253,GCA_900013405.1,1
Microbotryum,Basidiomycota,violaceum,1253,GCA_900015505.1,1
Microbotryum,Basidiomycota,violaceum,01516_a2,GCA_022506015.1,1
Microbotryum,Basidiomycota,violaceum,01509_a1,GCA_022506095.1,1
Microbotryum,Basidiomycota,violaceum,01509_a2,GCA_022506105.1,1
Microbotryum,Basidiomycota,violaceum,1250,GCA_900014965.1,1
Microbotryum,Basidiomycota,violaceum,1400,GCA_022702565.1,1
Microbotryum,Basidiomycota,violaceum,01516_a1,GCA_022505995.1,1
Microbotryum,Basidiomycota,violaceum,1250,GCA_900014955.1,1
Microbotryum,Basidiomycota,violaceum,Mv_1441,GCA_009602455.1,1
Microbotryum,Basidiomycota,violaceum,1118,GCA_900015415.1,1
Microbotryum,Basidiomycota,violaceum,1249,GCA_900015425.1,1
Microbotryum,Basidiomycota,violaceum,1118,GCA_900008855.1,1
Microbotryum,Basidiomycota,violaceum,1252,GCA_900015495.1,1
Microbotryum,Basidiomycota,violaceum,1247,GCA_900015435.1,1
Microbotryum,Basidiomycota,violaceum,1247,GCA_900009495.1,1
Microbotryum,Basidiomycota,intermedium,NA,GCA_900096595.1,1
Microbotryum,Basidiomycota,silenes-acaulis,1248,GCA_003665835.1,1
Microbotryum,Basidiomycota,scabiosae,1118,GCA_022702625.1,1
Microbotryum,Basidiomycota,saponariae,1269,GCA_900015475.1,1
Microbotryum,Basidiomycota,saponariae,1268,GCA_900015975.1,1
Microbotryum,Basidiomycota,saponariae,NA,GCA_900100905.1,1
Microbotryum,Basidiomycota,silenes-dioicae,NA,GCA_900120095.1,1
Mixia,Basidiomycota,osmundae,IAM.14324,GCA_000708205.1,1
Mixia,Basidiomycota,osmundae,IAM.14324,GCF_000708205.1,1
Mixia,Basidiomycota,osmundae,IAM.14324,GCA_000241205.2,1
Moesziomyces,Basidiomycota,antarcticus,JCM.10317,GCA_000747765.1,1
Moesziomyces,Basidiomycota,antarcticus,JCM.10317,GCF_000747765.1,1
Moesziomyces,Basidiomycota,aphidis,DSM.70725,GCA_000517465.1,1
Moesziomyces,Basidiomycota,parantarcticus,CBS.10005,GCA_023212605.1,1
Moesziomyces,Basidiomycota,globuligerus,NYNU.178249,GCA_030849465.1,1
Moesziomyces,Basidiomycota,sp.,F5C1,GCA_003004715.1,1
Moesziomyces,Basidiomycota,sp.,F16C1,GCA_003004725.1,1
Moesziomyces,Basidiomycota,antarcticus,KMA5,GCA_031214725.1,1
Moesziomyces,Basidiomycota,antarcticus,ATCC.34888,GCA_900322835.1,1
Moesziomyces,Basidiomycota,antarcticus,RS1,GCA_031213555.1,1
Moesziomyces,Basidiomycota,antarcticus,NRRL_Y-7808,GCA_928872045.1,1
Moesziomyces,Basidiomycota,antarcticus,T-34,GCA_000334475.1,1
Moniliella,Basidiomycota,sp.,ATCC.MYA-4962,GCA_003971905.1,1
Moniliophthora,Basidiomycota,roreri,MCA.2952,GCA_001466705.2,1
Moniliophthora,Basidiomycota,roreri,NA,GCA_000488995.1,1
Moniliophthora,Basidiomycota,roreri,NA,GCF_000488995.1,1
Moniliophthora,Basidiomycota,perniciosa,FA553,GCA_000183025.1,1
Moniliophthora,Basidiomycota,perniciosa,FA553,GCF_000183025.1,1
Mrakia,Basidiomycota,frigida,JCM.7857,GCA_001600395.1,1
Mrakia,Basidiomycota,gelida,MGH-2,GCA_024345305.1,1
Mrakia,Basidiomycota,psychrophila,NN053900,GCA_001889225.1,1
Mrakia,Basidiomycota,blollopis,SK-4,GCA_000950635.1,1
Mrakia,Basidiomycota,hoshinonis,JCM.32575,GCA_036245725.1,1
Mrakia,Basidiomycota,frigida,Nwmf-AP1,GCA_000815965.1,1
Mrakia,Basidiomycota,gelida,NA,GCA_017654745.1,1
Multifurca,Basidiomycota,ochricompacta,BPL690,GCA_022496185.1,1
Mycena,Basidiomycota,sanguinolenta,160909Yilan,GCA_014462675.1,1
Mycena,Basidiomycota,capillaripes,9286,GCA_029204075.1,1
Mycena,Basidiomycota,floridula,CBHHK072,GCA_029320655.1,1
Mycena,Basidiomycota,filopes,CBHHK001,GCA_029281495.1,1
Mycena,Basidiomycota,albidolilacea,CBHHK002,GCA_029282495.1,1
Mycena,Basidiomycota,epipterygia,CBHHK145m,GCA_029281465.1,1
Mycena,Basidiomycota,amicta,BAPX,GCA_029282125.1,1
Mycena,Basidiomycota,rebaudengoi,CBHHK068,GCA_029282285.1,1
Mycena,Basidiomycota,latifolia,10383,GCA_029289555.1,1
Mycena,Basidiomycota,polygramma,CBHHK137,GCA_029449255.1,1
Mycena,Basidiomycota,galericulata,CBHHK162m,GCA_029289565.1,1
Mycena,Basidiomycota,belliae,CBHHK173m,GCA_029282135.1,1
Mycena,Basidiomycota,crocata,CBHHK184,GCA_029281795.1,1
Mycena,Basidiomycota,vitilis,CBHHK169m,GCA_029203975.1,1
Mycena,Basidiomycota,maculata,CBHHK188m,GCA_029448575.1,1
Mycena,Basidiomycota,metata,CBHHK182m,GCA_029378385.1,1
Mycena,Basidiomycota,vulgaris,CBHHK164,GCA_029204335.1,1
Mycena,Basidiomycota,alexandri,CBHHK200,GCA_029233265.1,1
Mycena,Basidiomycota,rosella,CBHHK067,GCA_029378255.1,1
Mycena,Basidiomycota,olivaceomarginata,CBHHK47/15,GCA_029378375.1,1
Mycena,Basidiomycota,leptocephala,CBHHK5/15,GCA_029378395.1,1
Mycena,Basidiomycota,haematopus,CBHHK189,GCA_029281435.1,1
Mycena,Basidiomycota,galopus,ATCC.62051,GCA_014925785.1,1
Mycena,Basidiomycota,venus,CCC161011,GCA_014462655.1,1
Mycena,Basidiomycota,indigotica,171206Taipei,GCA_014461135.1,1
Mycena,Basidiomycota,indigotica,171206Taipei,GCF_014461135.1,1
Mycena,Basidiomycota,kentingensis,111111Pingtung,GCA_014461125.1,1
Mycena,Basidiomycota,chlorophos,110903Hualien_Pintung,GCA_014461115.1,1
Mycena,Basidiomycota,pura,9144,GCA_029281405.1,1
Mycena,Basidiomycota,citricolor,NA,GCA_963692855.1,1
Mycena,Basidiomycota,sp.,CBHHK59/15,GCA_029204085.1,1
Mycena,Basidiomycota,sp.,NA,GCA_023547045.1,1
Mycena,Basidiomycota,sanguinolenta,CBHHK176m,GCA_029203985.1,1
Mycena,Basidiomycota,citricolor,CBS.193.57,GCA_003987915.1,1
Mycena,Basidiomycota,chlorophos,NA,GCA_001612595.1,1
Naematelia,Basidiomycota,aurantialba,NX-20,GCA_021527695.1,1
Naematelia,Basidiomycota,encephala,68-887.2,GCA_002105065.1,1
Naematelia,Basidiomycota,aurantialba,13,GCA_033032075.1,1
Naematelia,Basidiomycota,aurantialba,40,GCA_033032605.1,1
Naematelia,Basidiomycota,aurantialba,47,GCA_033032035.1,1
Naematelia,Basidiomycota,aurantialba,25,GCA_033032055.1,1
Naganishia,Basidiomycota,albida,JCM.2334,GCA_001599735.1,1
Naganishia,Basidiomycota,onofrii,DBVPG.5303,GCA_030039215.1,1
Naganishia,Basidiomycota,kalamii,FJI-L2-BK-P3,GCA_022813745.1,1
Naganishia,Basidiomycota,liquefaciens,N6,GCA_013423385.1,1
Naganishia,Basidiomycota,vishniacii,ANT03-052,GCA_015708705.1,1
Naganishia,Basidiomycota,vaughanmartiniae,MNA-CCFEE.5425,GCA_030039245.1,1
Naganishia,Basidiomycota,friedmannii,MNA-CCFEE.5423,GCA_030039255.1,1
Naganishia,Basidiomycota,adeliensis,IF1SW-F1,GCA_012922715.1,1
Naganishia,Basidiomycota,sp.,IF7SW-B1,GCA_012922685.1,1
Naganishia,Basidiomycota,randhawae,eABCC1,GCA_013461525.1,1
Naganishia,Basidiomycota,cerealis,MNA-CCFEE.5261,GCA_030039265.1,1
Naganishia,Basidiomycota,antarctica,DBVPG.5271,GCA_025758675.1,1
Naganishia,Basidiomycota,albida,PT4301,GCA_023628155.1,1
Naganishia,Basidiomycota,albida,5307AI,GCA_024322255.1,1
Naganishia,Basidiomycota,albida,P1801B,GCA_023628175.1,1
Naganishia,Basidiomycota,albida,NT2002,GCA_001468955.1,1
Naganishia,Basidiomycota,albida,IIF5SW-F1,GCA_012922635.1,1
Naganishia,Basidiomycota,albida,IF6SW-B1,GCA_012922605.1,1
Naganishia,Basidiomycota,albida,NRRL.Y-1402,GCA_001444555.1,1
Naganishia,Basidiomycota,liquefaciens,I2-R1,GCA_019775365.1,1
Naganishia,Basidiomycota,adeliensis,MNA-CCFEE.5262,GCA_030039275.1,1
Neolentinus,Basidiomycota,lepideus,HHB14362.ss-1,GCA_001632425.1,1
Obba,Basidiomycota,rivulosa,3A-2,GCA_001687445.1,1
Omphalotus,Basidiomycota,olearius,VT.653.13,GCA_000296255.1,1
Omphalotus,Basidiomycota,guepiniiformis,NIFoS.5378,GCA_028554645.1,1
Panaeolus,Basidiomycota,papilionaceus,CIRM-BRFM.715,GCA_015501605.1,1
Panaeolus,Basidiomycota,cyanescens,2629,GCA_002938355.1,1
Panellus,Basidiomycota,pusillus,NA,GCA_013387415.1,1
Panus,Basidiomycota,rudis,PR-1116,GCA_022160315.1,1
Papiliotrema,Basidiomycota,laurentii,5307AH,GCA_031326905.1,1
Papiliotrema,Basidiomycota,flavescens,NRRL.Y-50378,GCA_000442785.1,1
Papiliotrema,Basidiomycota,fonsecae,NYNU.19160,GCA_035773095.1,1
Papiliotrema,Basidiomycota,nemorosus,TBRC.2959,GCA_032158125.1,1
Papiliotrema,Basidiomycota,terrestris,LS28,GCA_019857685.1,1
Papiliotrema,Basidiomycota,laurentii,IF7SW-F4,GCA_012922615.1,1
Papiliotrema,Basidiomycota,laurentii,IF7SW-B5,GCA_012922625.1,1
Papiliotrema,Basidiomycota,laurentii,RY1,GCA_000738825.1,1
Paxillus,Basidiomycota,involutus,ATCC.200175,GCA_000827475.1,1
Paxillus,Basidiomycota,ammoniavirescens,Pou09.2,GCA_014904835.1,1
Paxillus,Basidiomycota,rubicundulus,Ve08.2h10,GCA_000827395.1,1
Peniophora,Basidiomycota,sp.,CONT,GCA_001632445.1,1
Peniophora,Basidiomycota,sp.,NA,GCA_900536885.1,1
Phakopsora,Basidiomycota,pachyrhizi,NA,GCA_943181505.1,1
Phakopsora,Basidiomycota,pachyrhizi,NA,GCA_943846425.1,1
Phakopsora,Basidiomycota,pachyrhizi,MT2006,GCA_025201825.1,1
Phanerochaete,Basidiomycota,sordida,YK-624,GCA_019973155.2,1
Phanerochaete,Basidiomycota,carnosa,HHB-10118-sp,GCA_000300595.1,1
Phanerochaete,Basidiomycota,carnosa,HHB-10118-sp,GCF_000300595.1,1
Phanerochaete,Basidiomycota,chrysosporium,RP-78,GCA_000167175.1,1
Phellinus,Basidiomycota,lamaoensis,FFPRI411162,GCA_002794735.1,1
Phellopilus,Basidiomycota,nigrolimitatus,SigPhenig9,GCA_021029095.1,1
Phlebia,Basidiomycota,tremellosa,BBEL0901,GCA_011032875.1,1
Phlebia,Basidiomycota,brevispora,MPL23,GCA_027627325.1,1
Phlebia,Basidiomycota,tremellosa,BBEL0901,GCA_011032875.1,1
Phlebia,Basidiomycota,brevispora,MPL23,GCA_027627325.1,1
Phlebiopsis,Basidiomycota,gigantea,11061_1.CR5-6,GCA_000832265.1,1
Phlebiopsis,Basidiomycota,flavidoalba,KH2_1,GCA_035772785.1,1
Phlebopus,Basidiomycota,portentosus,PP17026,GCA_020232755.1,1
Phlebopus,Basidiomycota,sp.,FC_14,GCA_021018615.1,1
Phlebopus,Basidiomycota,portentosus,PP33,GCA_000766925.2,1
Pholiota,Basidiomycota,adiposa,DZS1,GCA_009935795.1,1
Pholiota,Basidiomycota,microspora,MG134,GCA_003314615.1,1
Pholiota,Basidiomycota,molesta,CBS.144467,GCA_014925825.1,1
Pholiota,Basidiomycota,conissans,CIRM-BRFM.674,GCA_015484465.1,1
Piloderma,Basidiomycota,croceum,F.1598,GCA_000827315.1,1
Pisolithus,Basidiomycota,microcarpus,441,GCA_024613185.1,1
Pisolithus,Basidiomycota,albus,SI12,GCA_024613165.1,1
Pisolithus,Basidiomycota,tinctorius,Marx.270,GCA_024663395.1,1
Pisolithus,Basidiomycota,orientalis,OTSU,GCA_024613125.1,1
Pisolithus,Basidiomycota,orientalis,OTSU,GCF_024613125.1,1
Pisolithus,Basidiomycota,thermaeus,11,GCA_024663475.1,1
Pisolithus,Basidiomycota,croceorrhizus,74A,GCA_024663515.1,1
Pisolithus,Basidiomycota,marmoratus,2.16A,GCA_024613145.1,1
Pisolithus,Basidiomycota,sp.,B1,GCA_024663435.1,1
Pisolithus,Basidiomycota,microcarpus,441,GCA_000827275.1,1
Pisolithus,Basidiomycota,albus,NA,GCA_024509395.1,1
Pisolithus,Basidiomycota,croceorrhizus,2.72,GCA_024663415.1,1
Pisolithus,Basidiomycota,tinctorius,Marx.270,GCA_000827335.1,1
Pleurotus,Basidiomycota,ostreatus/Saccharomyces,D1-P,GCA_024196135.1,1
Pleurotus,Basidiomycota,cornucopiae,NA,GCA_019677325.2,1
Pleurotus,Basidiomycota,ostreatus,PC9,GCA_014466165.1,1
Pleurotus,Basidiomycota,ostreatus,PC9,GCF_014466165.1,1
Pleurotus,Basidiomycota,eryngii,CCMJ2132,GCA_029467805.1,1
Pleurotus,Basidiomycota,tuoliensis,Ptuo-s1,GCA_036872985.1,1
Pleurotus,Basidiomycota,pulmonarius,PM_ss5,GCA_012980535.1,1
Pleurotus,Basidiomycota,citrinopileatus,HfpriPC05-1-Y1,GCA_017312325.1,1
Pleurotus,Basidiomycota,tuber-regium,ACCC.50657-18,GCA_014058305.1,1
Pleurotus,Basidiomycota,floridanus,CCMSSC00406,GCA_019395345.1,1
Pleurotus,Basidiomycota,salmoneostramineus,N60,GCA_002583695.1,1
Pleurotus,Basidiomycota,djamor,MPG-05,GCA_029747585.1,1
Pleurotus,Basidiomycota,giganteus,PG46,GCA_032158425.1,1
Pleurotus,Basidiomycota,sapidus,DSM.8266,GCA_026743855.1,1
Pleurotus,Basidiomycota,platypus,MG11,GCA_003313735.1,1
Pleurotus,Basidiomycota,ostreatoroseus,DPUA.1720,GCA_005298045.1,1
Pleurotus,Basidiomycota,ostreatus/Saccharomyces,D1-P,GCA_024196135.1,1
Pleurotus,Basidiomycota,ostreatus,NA,GCA_947034855.1,1
Pleurotus,Basidiomycota,ostreatus,PC9.15,GCA_029852705.2,1
Pleurotus,Basidiomycota,ostreatus,CCMSSC03989,GCA_003313235.2,1
Pleurotus,Basidiomycota,ostreatus,CCMSSC00389,GCA_001956935.2,1
Pleurotus,Basidiomycota,ostreatus,NA,GCA_947034875.1,1
Pleurotus,Basidiomycota,ostreatus,PC15,GCA_000697685.1,1
Pleurotus,Basidiomycota,eryngii,JKXB130DA,GCA_003243765.1,1
Pleurotus,Basidiomycota,eryngii,183,GCA_001717165.1,1
Pleurotus,Basidiomycota,eryngii,ATCC.90797,GCA_015484515.1,1
Pleurotus,Basidiomycota,eryngii,CCMJ970,GCA_029467795.1,1
Pleurotus,Basidiomycota,eryngii,CCMJ2131,GCA_029874175.1,1
Pleurotus,Basidiomycota,tuoliensis,CCMJ1077,GCA_029874165.1,1
Pleurotus,Basidiomycota,tuoliensis,JKBL130LB,GCA_003243755.1,1
Pleurotus,Basidiomycota,tuoliensis,CCMSSC00489P1,GCA_002847145.1,1
Pleurotus,Basidiomycota,tuoliensis,MG79,GCA_003313115.1,1
Pleurotus,Basidiomycota,pulmonarius,PM_ss13,GCA_012979565.1,1
Pleurotus,Basidiomycota,pulmonarius,PM_ss2,GCA_012980525.1,1
Pleurotus,Basidiomycota,pulmonarius,CCMSSC.04423,GCA_032158505.1,1
Pleurotus,Basidiomycota,citrinopileatus,MG63,GCA_003314595.1,1
Pleurotus,Basidiomycota,tuber-regium,JN18,GCA_019693315.1,1
Pleurotus,Basidiomycota,salmoneostramineus,N4,GCA_002933715.1,1
Pleurotus,Basidiomycota,tuber-regium,KL18,GCA_003314355.1,1
Pleurotus,Basidiomycota,salmoneostramineus,NBRC.31859,GCA_001742905.1,1
Pleurotus,Basidiomycota,giganteus,zhudugu2,GCA_036873075.1,1
Pleurotus,Basidiomycota,ostreatus,595,GCA_024195665.1,1
Pleurotus,Basidiomycota,eryngii,MG61,GCA_003314755.1,1
Plicaturopsis,Basidiomycota,crispa,FD-325.SS-3,GCA_000827205.1,1
Pluteus,Basidiomycota,cervinus,NL-1719,GCA_004369065.1,1
Polyporus,Basidiomycota,brumalis,kfri.20912,GCA_001792895.1,1
Polyporus,Basidiomycota,arcularius,HHB13444,GCA_004369055.1,1
Polyporus,Basidiomycota,brumalis,BRFM.1820,GCA_003367725.1,1
Porodaedalea,Basidiomycota,pini,BCRC.35384,GCA_002794775.1,1
Postia,Basidiomycota,placenta,MAD-698-R-SB12,GCA_002117355.1,1
Postia,Basidiomycota,placenta,MAD-698-R-SB12,GCF_002117355.1,1
Postia,Basidiomycota,placenta,FPRL280,GCA_015832375.1,1
Postia,Basidiomycota,placenta,Mad-698-R,GCA_000006255.1,1
Postia,Basidiomycota,placenta,Mad-698-R,GCF_000006255.1,1
Pseudomicrostroma,Basidiomycota,glucosiphilum,MCA.4718,GCA_003144135.1,1
Pseudomicrostroma,Basidiomycota,glucosiphilum,MCA.4718,GCF_003144135.1,1
Pseudozyma,Basidiomycota,thailandica,CBS.10006,GCA_023212835.1,1
Pseudozyma,Basidiomycota,pruni,CBS.10937,GCA_023212685.1,1
Pseudozyma,Basidiomycota,hubeiensis,SY62,GCA_000403515.1,1
Pseudozyma,Basidiomycota,hubeiensis,SY62,GCF_000403515.1,1
Pseudozyma,Basidiomycota,flocculosa,PF-1,GCA_000417875.1,1
Pseudozyma,Basidiomycota,flocculosa,PF-1,GCF_000417875.1,1
Pseudozyma,Basidiomycota,sp.,F8B2,GCA_003004685.1,1
Pseudozyma,Basidiomycota,tsukubaensis,NBRC.1940,GCA_001736125.1,1
Pseudozyma,Basidiomycota,sp.,M118-08B,GCA_037039655.1,1
Pseudozyma,Basidiomycota,hubeiensis,BOT-O,GCA_030142165.1,1
Pseudozyma,Basidiomycota,hubeiensis,NBRC.105055,GCA_001736105.1,1
Pseudozyma,Basidiomycota,flocculosa,DAOM196992,GCA_900322975.1,1
Pseudozyma,Basidiomycota,flocculosa,CBS.167.88.2,GCA_023212635.2,1
Psilocybe,Basidiomycota,cubensis,MGC-MH-2018,GCA_017499595.2,1
Psilocybe,Basidiomycota,cubensis,MGC-MH-2018,GCF_017499595.1,1
Psilocybe,Basidiomycota,cf.,CBS.101986,GCA_013368295.1,1
Psilocybe,Basidiomycota,mexicana,FSU.13617,GCA_023853805.1,1
Psilocybe,Basidiomycota,azurescens,FSU.13761,GCA_023853785.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74430,GCA_027604855.1,1
Psilocybe,Basidiomycota,cyanescens,2631,GCA_002938375.1,1
Psilocybe,Basidiomycota,tampanensis,NA,GCA_019904355.1,1
Psilocybe,Basidiomycota,galindoi,Georgia-2-SW,GCA_019721455.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75061,GCA_033735195.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74812,GCA_033734935.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74811,GCA_033734995.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75062,GCA_033735215.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74800,GCA_033735455.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74813,GCA_033734955.1,1
Psilocybe,Basidiomycota,cubensis,POZ03_06,GCA_033735395.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75066,GCA_033735295.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74810,GCA_033734975.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75069,GCA_033735315.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74801,GCA_033735415.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75060,GCA_033735155.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75063,GCA_033735235.1,1
Psilocybe,Basidiomycota,cubensis,POZ03_04,GCA_033735355.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74805,GCA_033734215.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74799,GCA_033735485.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74803,GCA_033735545.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74804,GCA_033734185.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75067,GCA_033735255.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75068,GCA_033735275.1,1
Psilocybe,Basidiomycota,cubensis,POZ03_03,GCA_033735375.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74814,GCA_033735035.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75057,GCA_033735175.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74808,GCA_033734195.1,1
Psilocybe,Basidiomycota,cubensis,BRIP75072,GCA_033735335.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74818,GCA_033735135.1,1
Psilocybe,Basidiomycota,cubensis,BRIP4-5,GCA_033735435.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74807,GCA_033734205.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74815,GCA_033735055.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74816,GCA_033735075.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74819,GCA_033735115.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74809,GCA_033735015.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74817,GCA_033735095.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74806,GCA_033734175.1,1
Psilocybe,Basidiomycota,cubensis,BRIP74802,GCA_033735475.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74431,GCA_027604815.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74429,GCA_027604875.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74432,GCA_027604765.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74427,GCA_027604835.1,1
Psilocybe,Basidiomycota,subaeruginosa,BRIP:74433,GCA_027604795.1,1
Psilocybe,Basidiomycota,tampanensis,NA,GCA_019908695.1,1
Psilocybe,Basidiomycota,tampanensis,NA,GCA_019908715.1,1
Psilocybe,Basidiomycota,azurescens,Oregon-Coast-3-SW,GCA_019721835.1,1
Pterula,Basidiomycota,gracilis,CBS.309.79,GCA_004369125.1,1
Pterula,Basidiomycota,multifida,NA,GCA_900068985.1,1
Puccinia,Basidiomycota,triticina,Pt15,GCA_026914185.1,1
Puccinia,Basidiomycota,triticina,Pt15,GCF_026914185.1,1
Puccinia,Basidiomycota,striiformis,134E16A+17+33+,GCA_021901695.1,1
Puccinia,Basidiomycota,striiformis,134E16A+17+33+,GCF_021901695.1,1
Puccinia,Basidiomycota,polysora,GD1913,GCA_025617555.3,1
Puccinia,Basidiomycota,graminis,CRL.75-36-700-3,GCA_000149925.1,1
Puccinia,Basidiomycota,graminis,CRL.75-36-700-3,GCF_000149925.1,1
Puccinia,Basidiomycota,horiana,SC2014G01,GCA_001624995.1,1
Puccinia,Basidiomycota,hordei,NA,GCA_007896445.1,1
Puccinia,Basidiomycota,coronata,NA,GCA_002873125.1,1
Puccinia,Basidiomycota,novopanici,NA,GCA_004348175.1,1
Puccinia,Basidiomycota,brachypodii,NA,GCA_019395275.1,1
Puccinia,Basidiomycota,sorghi,RO10H11247,GCA_001263375.1,1
Puccinia,Basidiomycota,striiformis,134E16A+17+33+,GCA_021901655.1,1
Puccinia,Basidiomycota,triticina,Pt15,GCA_026914245.1,1
Puccinia,Basidiomycota,striiformis,CYR34,GCA_025169535.1,1
Puccinia,Basidiomycota,striiformis,93-210,GCA_025169555.1,1
Puccinia,Basidiomycota,triticina,NA,GCA_029633885.1,1
Puccinia,Basidiomycota,triticina,NA,GCA_029634005.1,1
Puccinia,Basidiomycota,triticina,Pt76,GCA_019358815.1,1
Puccinia,Basidiomycota,graminis,NA,GCA_002762355.2,1
Puccinia,Basidiomycota,striiformis,DK09_11,GCA_011750755.1,1
Puccinia,Basidiomycota,striiformis,104.E137.A-,GCA_002900275.1,1
Puccinia,Basidiomycota,striiformis,DK09_11,GCA_011750625.1,1
Puccinia,Basidiomycota,striiformis,38S102,GCA_001936605.2,1
Puccinia,Basidiomycota,striiformis,NA,GCA_004194325.1,1
Puccinia,Basidiomycota,striiformis,93-210,GCA_002920065.1,1
Puccinia,Basidiomycota,striiformis,93TX-2,GCA_002920205.1,1
